OBJECTID,FID_pak1k_gpo2_hd_urban,group_,ID,Pop,FID_pak_admbnda_adm1_wfp_20220909,Shape_Leng,ADM1_EN,ADM1_PCODE,ADM1_REF,ADM1ALT1EN,ADM1ALT2EN,ADM0_EN,ADM0_PCODE,date,validOn,validTo,Shape_Length,Shape_Area
64,61,60,1540,77020.01563,5,28.04656823,Punjab,PK6, , , ,Pakistan,PK,2022-09-02 0:00:00,2022-09-09 0:00:00,,0.249998,0.001944464
65,62,61,1541,50034.17969,5,28.04656823,Punjab,PK6, , , ,Pakistan,PK,2022-09-02 0:00:00,2022-09-09 0:00:00,,0.183332,0.001111089
66,63,62,1542,95072.9375,5,28.04656823,Punjab,PK6, , , ,Pakistan,PK,2022-09-02 0:00:00,2022-09-09 0:00:00,,0.283332,0.002222194
67,64,63,3088,514174.6875,5,28.04656823,Punjab,PK6, , , ,Pakistan,PK,2022-09-02 0:00:00,2022-09-09 0:00:00,,1.083336,0.010694481
68,65,64,1544,50293.56641,5,28.04656823,Punjab,PK6, , , ,Pakistan,PK,2022-09-02 0:00:00,2022-09-09 0:00:00,,0.183334,0.00125
69,66,65,1546,90580.35156,5,28.04656823,Punjab,PK6, , , ,Pakistan,PK,2022-09-02 0:00:00,2022-09-09 0:00:00,,0.183332,0.001527764
70,67,66,1547,59760.65625,5,28.04656823,Punjab,PK6, , , ,Pakistan,PK,2022-09-02 0:00:00,2022-09-09 0:00:00,,0.233332,0.002013869
71,68,67,1548,52274.00391,5,28.04656823,Punjab,PK6, , , ,Pakistan,PK,2022-09-02 0:00:00,2022-09-09 0:00:00,,0.133332,0.00104165
72,69,68,1549,83294.28906,5,28.04656823,Punjab,PK6, , , ,Pakistan,PK,2022-09-02 0:00:00,2022-09-09 0:00:00,,0.2,0.001527781
73,70,69,1550,450856.1875,5,28.04656823,Punjab,PK6, , , ,Pakistan,PK,2022-09-02 0:00:00,2022-09-09 0:00:00,,0.516668,0.008055544
74,71,70,1551,141691.2813,5,28.04656823,Punjab,PK6, , , ,Pakistan,PK,2022-09-02 0:00:00,2022-09-09 0:00:00,,0.383334,0.003611064
75,72,71,1552,79876.82813,5,28.04656823,Punjab,PK6, , , ,Pakistan,PK,2022-09-02 0:00:00,2022-09-09 0:00:00,,0.249998,0.001944422
76,73,72,1553,70129.65625,5,28.04656823,Punjab,PK6, , , ,Pakistan,PK,2022-09-02 0:00:00,2022-09-09 0:00:00,,0.233332,0.001666658
77,74,73,1554,119808.6562,5,28.04656823,Punjab,PK6, , , ,Pakistan,PK,2022-09-02 0:00:00,2022-09-09 0:00:00,,0.349998,0.002916683
78,75,74,1555,84561.83594,5,28.04656823,Punjab,PK6, , , ,Pakistan,PK,2022-09-02 0:00:00,2022-09-09 0:00:00,,0.266664,0.002013861
79,76,75,1556,179439.5625,5,28.04656823,Punjab,PK6, , , ,Pakistan,PK,2022-09-02 0:00:00,2022-09-09 0:00:00,,0.266666,0.003611089
80,77,76,1557,195921.9687,5,28.04656823,Punjab,PK6, , , ,Pakistan,PK,2022-09-02 0:00:00,2022-09-09 0:00:00,,0.333332,0.003541633
81,78,77,1558,133349.6719,5,28.04656823,Punjab,PK6, , , ,Pakistan,PK,2022-09-02 0:00:00,2022-09-09 0:00:00,,0.316666,0.002986139
82,79,78,1559,200834.1563,5,28.04656823,Punjab,PK6, , , ,Pakistan,PK,2022-09-02 0:00:00,2022-09-09 0:00:00,,0.366668,0.004097211
83,80,79,1560,647280.75,1,42.06246202,Balochistan,PK2, , , ,Pakistan,PK,2022-09-02 0:00:00,2022-09-09 0:00:00,,0.75,0.014583342
84,81,80,1561,267498.1875,5,28.04656823,Punjab,PK6, , , ,Pakistan,PK,2022-09-02 0:00:00,2022-09-09 0:00:00,,0.466664,0.005486122
85,82,81,1562,140447.5,5,28.04656823,Punjab,PK6, , , ,Pakistan,PK,2022-09-02 0:00:00,2022-09-09 0:00:00,,0.349998,0.002986097
86,83,82,1563,3001759,5,28.04656823,Punjab,PK6, , , ,Pakistan,PK,2022-09-02 0:00:00,2022-09-09 0:00:00,,1.566668,0.034166775
87,84,83,1564,576241.875,5,28.04656823,Punjab,PK6, , , ,Pakistan,PK,2022-09-02 0:00:00,2022-09-09 0:00:00,,0.566668,0.009861114
88,85,84,1565,115438.0703,5,28.04656823,Punjab,PK6, , , ,Pakistan,PK,2022-09-02 0:00:00,2022-09-09 0:00:00,,0.3,0.002569431
89,86,85,1566,152328.4531,5,28.04656823,Punjab,PK6, , , ,Pakistan,PK,2022-09-02 0:00:00,2022-09-09 0:00:00,,0.266666,0.002708317
90,87,86,1567,82205.40625,5,28.04656823,Punjab,PK6, , , ,Pakistan,PK,2022-09-02 0:00:00,2022-09-09 0:00:00,,0.216666,0.002152772
91,88,87,1568,111223.8047,5,28.04656823,Punjab,PK6, , , ,Pakistan,PK,2022-09-02 0:00:00,2022-09-09 0:00:00,,0.250002,0.001874975
92,89,88,1569,81758.61719,5,28.04656823,Punjab,PK6, , , ,Pakistan,PK,2022-09-02 0:00:00,2022-09-09 0:00:00,,0.250002,0.001944456
93,90,89,1570,135601.2344,5,28.04656823,Punjab,PK6, , , ,Pakistan,PK,2022-09-02 0:00:00,2022-09-09 0:00:00,,0.316666,0.002777772
94,91,90,1571,118077.7187,5,28.04656823,Punjab,PK6, , , ,Pakistan,PK,2022-09-02 0:00:00,2022-09-09 0:00:00,,0.233332,0.002083333
